feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
bench_minutes_z_5_vs_30,0.16857948711283258,0.04983503477048253,-0.04983503477048253,63967
opp_pos_minutes_allowed_roll_5,0.34243601908054644,0.049556950727806255,-0.049556950727806255,50591
turnovers_momentum_10_vs_30,0.010632075594317428,0.04954238161682048,0.04954238161682048,76119
opp_pos_player_count_roll_30,0.34243601908054644,0.04912762889213944,-0.04912762889213944,50591
opp_pos_player_count_roll_10,0.34243601908054644,0.0488005062677383,-0.0488005062677383,50591
usagePercentage_z_10_vs_30,0.021563097079428623,0.04782118396054036,0.04782118396054036,75278
opp_pos_player_count_roll_5,0.34243601908054644,0.04730827936752205,-0.04730827936752205,50591
trueShootingPercentage_z_10_vs_30,0.023746701846965697,0.043708745447338264,0.043708745447338264,75110
trueShootingPercentage_z_5_vs_30,0.023746701846965697,0.043536969726545284,0.043536969726545284,75110
pace_roll_5,0.010632075594317428,0.04352315333950109,-0.04352315333950109,76119
opp_pos_fp_allowed_per_player_std_30,0.34659526625680753,0.04350562855982544,0.04350562855982544,50271
reboundsTotal_momentum_5_vs_10,0.010632075594317428,0.042859582232013034,0.042859582232013034,76119
assists_momentum_5_vs_10,0.010632075594317428,0.042666552022910115,0.042666552022910115,76119
effectiveFieldGoalPercentage_z_5_vs_30,0.02498147835241821,0.04170615416004997,0.04170615416004997,75015
opp_pos_fp_allowed_roll_30,0.34243601908054644,0.04144390032916063,-0.04144390032916063,50591
usagePercentage_momentum_10_vs_30,0.010632075594317428,0.0412909335558712,0.0412909335558712,76119
effectiveFieldGoalPercentage_z_10_vs_30,0.02498147835241821,0.04017119493489634,0.04017119493489634,75015
trueShootingPercentage_momentum_10_vs_30,0.010632075594317428,0.040141221609325595,0.040141221609325595,76119
offensiveRating_z_10_vs_30,0.021238155893783226,0.039921113351869014,0.039921113351869014,75303
opp_pos_fp_allowed_roll_10,0.34243601908054644,0.03989973583210485,-0.03989973583210485,50591
opp_points_allowed_roll_30,0.3381727907248788,0.0389247623115793,0.0389247623115793,50919
opp_pos_fp_allowed_per_player_roll_10,0.34243601908054644,0.038668084280555744,0.038668084280555744,50591
effectiveFieldGoalPercentage_momentum_10_vs_30,0.010632075594317428,0.037824652775849094,0.037824652775849094,76119
opp_pos_fp_allowed_roll_5,0.34243601908054644,0.03656639789420651,-0.03656639789420651,50591
blocks_momentum_10_vs_30,0.010632075594317428,0.036412391057545464,0.036412391057545464,76119
steals_momentum_10_vs_30,0.010632075594317428,0.03579700409466773,0.03579700409466773,76119
opp_fp_allowed_roll_30,0.34243601908054644,0.03567563366664139,0.03567563366664139,50591
offensiveRating_z_5_vs_30,0.021238155893783226,0.03556469225424778,0.03556469225424778,75303
opp_pos_fp_allowed_roll_3,0.34243601908054644,0.033996868921148914,-0.033996868921148914,50591
opp_pos_fp_allowed_per_player_roll_5,0.34243601908054644,0.03397044646945142,0.03397044646945142,50591
playerImpactEstimate_z_5_vs_30,0.021277148836060675,0.03350490118315991,0.03350490118315991,75300
opp_pos_player_count_std_30,0.34659526625680753,0.0332708410528459,-0.0332708410528459,50271
playerImpactEstimate_z_10_vs_30,0.021277148836060675,0.033213294655487086,0.033213294655487086,75300
opp_pointsInThePaint_allowed_roll_30,0.3381727907248788,0.03308260924936672,0.03308260924936672,50919
opp_pace_roll_30,0.3381727907248788,0.0323489687694247,0.0323489687694247,50919
opp_defensiveRating_roll_30,0.3381727907248788,0.0317481755340509,0.0317481755340509,50919
opp_points_allowed_roll_5,0.3381727907248788,0.03171923644469634,0.03171923644469634,50919
opp_fp_allowed_roll_5,0.34272196732391436,0.030831430780154323,0.030831430780154323,50569
defensiveRating_z_10_vs_30,0.021147172361802514,0.030654834013335783,0.030654834013335783,75310
turnovers_momentum_5_vs_10,0.010632075594317428,0.030046574504381557,0.030046574504381557,76119
